time,distance,strafes,pre,max,height,sync,crouchjump,-forward
1669131596,274.0861,10,275.351,346,56.9,66,yes,yes
1669131598,265.9023,10,275.101,324,56.9,76,yes,yes
1669131601,265.1102,10,275.351,333,57.8,55,yes,yes
1669131603,268.9323,10,274.851,338,56.9,56,yes,yes
1669131605,272.0474,10,275.351,343,56.9,67,yes,yes
1669131607,263.5578,10,275.101,331,56.9,52,yes,yes
1669131616,267.4904,10,272.850,337,56.9,66,yes,yes
1669131618,256.1869,10,276.101,322,56.9,51,yes,yes
1669131620,265.5166,10,275.601,334,56.9,72,yes,yes
1669131626,254.7321,10,276.101,303,56.9,32,yes,yes
1669131628,264.1853,10,274.601,350,56.9,81,yes,yes
1669131630,258.8923,10,275.851,333,56.9,73,yes,yes
1669131632,271.4798,8,275.851,342,56.9,68,yes,yes
1669131635,273.5205,10,275.601,346,56.9,69,yes,yes
1669131637,275.0535,10,273.850,355,56.9,78,yes,yes
1669131639,271.2995,10,275.101,353,56.9,72,yes,yes
1669131641,271.6755,10,271.350,344,56.9,74,yes,yes
1669131643,275.5505,10,275.101,349,56.9,69,yes,yes
1669131646,273.5429,10,276.101,353,56.9,66,yes,yes
1669131648,275.7230,8,274.851,344,56.9,60,yes,yes
1669131652,270.6011,10,275.101,343,56.9,73,yes,yes
1669131654,262.9161,8,274.101,323,56.9,44,yes,yes
1669131656,279.4495,10,274.601,363,56.9,85,yes,yes
1669131658,274.8246,10,274.601,350,56.9,62,yes,yes
1669131660,269.7553,10,274.850,335,56.9,51,yes,yes
1669131682,271.6177,10,274.350,347,56.9,81,yes,yes
1669131684,271.7315,10,272.850,344,56.9,68,yes,yes
1669131689,275.2355,10,275.851,347,56.9,67,yes,yes
1669131691,271.0948,10,275.351,348,56.9,76,yes,yes
1669131693,273.1378,10,274.601,354,56.9,82,yes,yes
1669131697,262.4516,10,276.101,318,56.9,40,yes,yes
1669131699,270.2172,10,272.226,344,56.9,68,yes,yes
1669131701,271.5859,10,275.351,344,56.9,74,yes,yes
1669131715,275.3099,10,274.601,357,56.9,84,yes,yes
1669131717,276.2167,10,275.101,358,56.9,80,yes,yes
1669131719,256.0485,10,275.101,317,56.9,36,yes,yes
1669131723,270.0510,10,274.851,332,56.9,49,yes,yes
1669131730,264.1620,8,274.851,336,56.9,60,yes,yes
1669131732,256.1520,10,273.350,319,56.9,73,yes,yes
1669131734,275.3483,10,275.351,346,56.9,66,yes,yes
1669131736,269.7619,10,275.601,337,56.9,58,yes,yes
1669131738,277.0874,10,275.351,360,56.9,82,yes,yes
1669131742,276.4429,10,274.769,349,56.9,67,yes,yes
1669131744,263.5809,10,275.101,352,56.9,78,yes,yes
1669131746,251.0016,10,273.850,315,56.9,35,yes,yes
1669131750,265.8258,10,275.851,323,56.9,43,yes,yes
1669131752,264.9282,10,274.601,321,56.9,38,yes,yes
1669131771,269.4998,10,275.351,330,56.9,46,yes,yes
1669131773,272.6392,10,275.851,340,56.9,65,yes,yes
1669131777,260.3962,10,274.601,314,56.9,36,yes,yes
1669131785,272.4349,10,275.056,340,56.9,70,yes,yes
1669131787,272.0832,8,274.851,347,56.9,69,yes,yes
1669131789,270.0935,10,274.226,333,56.9,53,yes,yes
1669131793,271.2670,10,275.851,344,56.9,64,yes,yes
1669131795,279.3862,10,275.851,354,56.9,79,yes,yes
1669131797,276.7943,10,274.601,347,56.9,71,yes,yes
1669131799,262.9951,10,275.851,322,56.9,64,yes,yes
1669131801,280.6078,10,275.851,357,56.9,70,yes,yes
1669131803,277.2879,10,276.101,352,56.9,71,yes,yes
1669131806,275.5227,10,274.476,355,56.9,74,yes,yes
1669131808,273.2349,10,274.851,348,56.9,66,yes,yes
1669131810,274.2877,10,276.101,348,56.9,63,yes,yes
1669131822,269.0508,10,273.850,338,56.9,68,yes,yes
1669131824,273.7672,10,275.601,352,56.9,86,yes,yes
1669131828,270.8518,9,271.850,346,56.9,65,yes,yes
1669131830,275.1466,10,274.601,356,56.9,83,yes,yes
1669131832,276.1518,10,275.601,348,56.9,72,yes,yes
1669131834,275.5324,10,275.601,349,56.9,72,yes,yes
1669131837,277.9281,10,275.851,352,56.9,79,yes,yes
1669131839,276.3867,10,274.851,345,56.9,60,yes,yes
1669131841,257.5906,10,274.851,314,56.9,41,yes,yes
1669131843,273.3375,10,275.601,338,56.9,52,yes,yes
1669131845,274.1867,10,273.476,343,56.9,73,yes,yes
1669131847,266.1528,10,273.476,334,56.9,62,yes,yes
1669131849,275.2126,10,273.388,358,56.9,86,yes,yes
1669131853,267.4138,10,274.601,338,56.9,58,yes,yes
1669131855,262.1684,10,275.101,345,56.9,75,yes,yes
1669131857,272.3714,10,274.851,343,56.9,67,yes,yes
1669131859,273.1199,10,275.101,344,56.9,76,yes,yes
1669131866,266.5238,10,276.101,334,56.9,53,yes,yes
1669131868,274.7559,10,275.851,350,56.9,75,yes,yes
1669131870,270.1325,8,275.351,346,56.9,62,yes,yes
1669131872,266.9101,9,275.351,328,56.9,48,yes,yes
1669131874,273.6636,10,274.601,348,56.9,69,yes,yes
1669131876,270.3120,10,271.101,337,56.9,70,yes,yes
1669131881,270.6503,10,275.351,343,56.9,63,yes,yes
1669131883,271.4945,10,274.851,347,56.9,65,yes,yes
1669131885,270.2436,10,273.476,333,56.9,72,yes,yes
1669131887,276.4413,10,274.601,354,56.9,84,yes,yes
1669131890,273.9900,10,275.351,348,56.9,81,yes,yes
1669131892,271.7836,10,273.476,344,56.9,75,yes,yes
1669132031,270.8306,9,275.601,343,56.9,61,yes,yes
1669132052,264.5019,10,270.850,325,56.9,49,yes,yes
1669132054,269.8071,9,275.601,340,56.9,66,yes,yes
1669132056,269.0949,10,274.851,335,56.9,50,yes,yes
1669132058,247.3755,9,275.851,288,56.9,26,yes,yes
1669132061,268.6099,8,274.601,342,56.9,60,yes,yes
1669132068,272.9116,10,275.229,329,56.9,50,yes,yes
1669132070,275.6372,10,275.351,352,56.9,78,yes,yes
1669132074,275.0200,10,276.101,350,56.9,75,yes,yes
1669132076,278.5031,10,275.351,355,56.9,75,yes,yes
1669132078,274.3268,10,275.851,348,56.9,77,yes,yes
1669132080,278.3486,10,274.851,354,56.9,74,yes,yes
1669132118,270.9075,9,276.101,337,56.9,62,yes,yes
